,layer,neuron,Original,Summary,Highlight,HighlightSummary,AVHS
176,1,4191,"words related to the brand ""Fender"" and associated products and concepts.","words or tokens related to the brand ""Fender"" or objects/components associated with it, such as ""pickup"" and ""trailer fenders"".","words related to specific products or objects, particularly related to companies or brands.","tokens related to the word ""fender"". This could include references to the Fender brand, as well as mentions of objects or concepts associated with fenders, such as guitar pickups or trailer parts.","references to the brand name ""Fender"" and related terms such as ""company"", ""technologies"", and ""protecting jobs and commitment to excellence""."
177,1,4649,words related to external factors or influences.,"words related to external factors, such as externalities, external security, external representations, and external validity.",words related to external factors or conditions.,words related to external factors or considerations.,words related to external factors or influences.
178,1,6154,"references to streaming, webcasts, or online broadcasts.","words related to the flow or movement of something, such as streams, streams, cast, and flow.","words related to the flow or streaming of something, such as information, water, or energy.","words related to the flow or movement of something, such as ""stream,"" ""flow,"" and ""water.""","words related to the flow of information, such as ""stream"" and ""flow""."
179,2,889,"mentions or references to the name ""olly"" and potentially related information such as friends, shows, or rankings.","tokens that are names or variations of the name ""Molly"".","names of people introduced with an uppercase letter, particularly focusing on names that start with the letter 'M'.","names of people, especially names that contain the substring ""olly"".","the name ""Molly"" and variations of the name, as well as references to friends or acquaintances."
180,2,1159,words related to hunting and hunters.,"mentions or references to hunters, hunting, and related terms.",mentions of hunters or hunting-related activities.,words related to hunting and hunters.,references to hunting and hunters.
181,2,2878,years or numbers related to historical events or cultural references.,years or dates.,dates or years mentioned in the text.,years or dates.,years or specific dates.
182,2,4009,words or phrases related to body parts or physical sensations.,words or parts of words related to bodies or physical entities.,"words or parts of words containing 'body', 'bodies', or 'somebody'.","words or parts of words that contain ""-odies"" or ""-ody"".",words related to bodies or physical entities.
183,2,4560,keywords related to religious or spiritual content.,"words related to physical locations or objects, specifically related to pits.","words or tokens related to physical structures or objects, such as ""pit"", ""pulpit"", and ""fire-pit"".","words related to physical structures or objects such as ""solid"" and ""pulpit,"" particularly those associated with a sense of depth or depth perception such as ""pit"" or ""down.""",tokens related to physical or metaphorical pits or solid structures like 'Solid' or 'pul[ ]pit'.
184,2,6063,"words related to computer network security, including terms like ""combination"" and ""MAC filtering"".",mentions of combinations or mixes of different elements or factors.,mentions of combinations or mixtures of different elements or factors.,words related to combining or joining different elements or components together.,combinations or groupings of elements or factors.
185,3,585,"words related to programming languages, plugins, and file formats.",words related to the season of fall or downward movement.,words related to descending or downward motion.,words related to a decrease or decline.,"references to the word ""fall"", possibly in the context of seasons, events, or actions."
186,3,1210,"occurrences of the word ""proper"" or phrases related to correct usage or adherence.","tokens related to correctness, appropriateness, or adherence to rules and standards.",words related to correctness or appropriateness.,"words related to correctness, adherence to rules or standards, or appropriate behavior.",adjectives describing correctness or appropriateness.
187,3,1866,"words related to demands, coercion, and forced actions.",words related to requests or demands.,words related to demands or requests.,"words related to exerting pressure or making requests forcefully, as well as words related to coercive or forced actions.","words related to coercion, force, and demanding action."
188,3,3101,phrases related to situations that are barely or nearly happening.,words and phrases related to things happening or being at a very small or minimal degree.,adverbs indicating a small or minimal degree or amount.,"words related to ""scarcity"" or ""limited quantity"".",adverbs that indicate a small or minimal extent.
189,3,3933,terms related to marijuana or cannabis.,"references to the word ""pot"" and related terms, potentially related to marijuana or cooking.",words related to cooking or culinary activities involving pots.,words related to marijuana and its various aspects.,terms related to marijuana or cannabis.
190,3,4331,"references to mythical creatures, especially beasts.","references to animals, creatures, or characters referred to as ""Beast"".","words related to animals, particularly beasts or creatures.","words related to powerful, intimidating, or legendary entities or creatures.","words related to dangerous or powerful creatures, such as beasts."
191,4,983,words related to physical actions or activities.,verbs related to capturing or obtaining something.,"words or phrases related to capturing or obtaining something, such as catching, capturing, nabbing, or phrases like ""catch me"" or ""catch phrase"".",words related to the activity of catching or grabbing something.,words related to catching or capturing something.
192,4,4731,words related to extreme emotions or intensifiers.,adverbs that emphasize or intensify an action or state.,adverbs that emphasize or intensify something.,adverbs that emphasize or intensify something.,"the word ""totally"" used to express a high degree or level of something."
193,5,686,phrases related to transferring licenses or permissions between locations or entities.,"occurrences of the word ""against"" in various contexts and scenarios.",words or phrases related to opposition or contrast.,words related to opposition or conflict.,words or phrases related to opposition or conflict.
194,5,2160,words related to eligibility or qualification.,"words related to eligibility, qualifications, and specific criteria.",adjectives that describe eligibility or suitability for something.,"words related to eligibility, specification, determination, verification, equality, pride, confidence, training, and designation.","words associated with eligibility, selection, and qualification criteria."
195,5,3123,words related to screenshots or visual representations of information.,"references to images or visuals, particularly screenshots.",mentions or references to screenshots.,instances or mentions of screenshots.,"references to images or screen captures, often associated with technology or digital content."
196,5,4909,"occurrences of the word ""when"" followed by context-dependent information or events.","instances of the word ""When"" in the text excerpts.",phrases or clauses that indicate a specific point in time or condition.,"tokens that indicate a specific moment or event in time, often introduced by the word ""when"".","instances where the word ""when"" is used."
197,6,224,mentions of political approval or authorization from authorities.,"words related to legal and regulatory processes, including terms like ""approvable,"" ""clearance,"" ""Congressional approval,"" and ""authorization.""",words related to legal and bureaucratic processes.,"words related to permissions, approvals, and official authorizations.","words related to legal and regulatory processes, such as approval, authorization, and clearance."
198,6,2534,phrases related to sports statistics and cooking instructions.,"instances of time measurements, specifically the word 'minute'.","tokens related to the measurement of time (e.g., ""minute"").",mentions of time in minutes or certain slang words.,"references to time, specifically minutes and potentially other time-related terms."
199,7,3895,words related to refining or adjusting something.,"words related to modifying or fine-tuning something, such as refining, adjusting or changing.",words related to modification or adjustment.,words related to modifying or changing something for improvement or compliance.,words related to adjusting or refining something for improvement or optimization.
200,8,1193,words related to attempts or actions.,"words related to trying or striving to accomplish something, often in a challenging or difficult context.",words related to actions or efforts to achieve a specific outcome or goal.,words related to trying or making an effort.,words related to efforts or actions being taken.
201,8,4601,references to proximity or closeness in space or relationships.,"words or phrases related to proximity, distance, or closeness.",words or phrases related to physical distance or spatial relationships.,words or phrases related to proximity or closeness.,words related to proximity or distance.
202,10,567,words related to economic and political analysis and opinions.,"words related to the strength or weakening of something, such as weakening, strengthen, weak, clear, ability.","words related to the strength or weakening of something, such as ""weaken,"" ""strengthen,"" ""weak,"" ""strong,"" and ""ability.""",verbs or adjectives that relate to the concept of strength or weakness.,"words related to the concept of strength and weakness, particularly in relation to economic and political contexts."
203,10,3026,phrases related to movement or physical actions.,words related to movement or action involving sliding.,words related to movement and physical actions involving sliding or slipping.,words related to movement or action involving sliding or slipping.,words related to movement or action involving sliding or slipping.
204,15,1706,words related to permanent or long-lasting things or concepts.,words related to permanence and indefinite duration.,words related to permanence or indefinite duration.,words related to permanence or indefinite duration.,words related to permanence or duration.
205,21,5653,references to software features or attributes.,"the word ""latter"" which typically refers to the second of two things or options mentioned.",words or phrases that refer to the second or last mentioned item in a list or sequence.,"the word ""latter,"" which refers to the second of two things or options previously mentioned.",the second option or second item in a list or comparison.
206,0,282,"words and phrases related to conspiracy theories, occultism, and witchcraft.","words related to occultism, conspiracy theories, and supernatural elements.","words related to conspiracy theories, occult practices, and supernatural entities.","words related to conspiracy theories, occult practices, and supernatural or mystical elements.","words related to conspiracy theories, occult practices, and supernatural entities."
207,0,2099,words related to geographical boundaries and jurisdictions.,"words or phrases related to boundaries, districts, locations, and jurisdictions.",words or phrases related to boundaries or borders., words related to geographic locations and boundaries.,words and phrases related to boundaries and locations.
208,0,2786,references to valuable or important things.,"tokens related to something valuable or highly esteemed, such as precious memories, precious manuscripts, precious metals, and precious cultural heritage.","words related to value, specifically emphasizing words related to preciousness or high worth.","words related to value, rarity, or significance.","mentions of something being valuable or highly cherished, often relating to personal or cultural significance."
209,0,3757,mentions or references to polls or survey results.,"references to surveys, polls, and public opinion.",mentions of opinion polls or surveys.,references to surveys or polls conducted to gather public opinions or data.,information related to public opinion surveys or polls.
210,0,5778,"words related to specific locations or places, particularly those with the word ""Springs"" in them.","references to a specific location or place name, in this case, ""Springs.""",mentions of specific locations or places.,"words related to specific geographical locations, particularly places or towns with the word ""Springs"" in their names.",words related to specific locations or place names.
211,1,617,words related to events being cancelled or disrupted.,"words related to removal, dismissal, or expulsion from a group or location.",words related to actions or events that involve removal or expulsion.,"words related to removal, dismissal, or exclusion.","phrases or words related to removal, cancellation, or discontinuation."
212,1,1169,words related to scientific discoveries and statistical analysis.,"verbs and nouns related to discovering, confirming, and determining.",words related to scientific discoveries and determinations.,words related to the act of finding or determining something.,"words related to the discovery and confirmation of things, such as planets and events, as well as terms related to statistical analysis and determination."
213,1,1293,words related to legal cases and individuals involved in legal proceedings.,"instances of the word ""couple"" being used to refer to a pair of people in various contexts.",mentions of couples or pairs of individuals.,"instances where the term ""couple"" is used to refer to a pair of individuals in different contexts or situations.",words related to couples or pairs of people.
214,1,1633,adjectives expressing positive emotions and pride.,"words related to emotions, specifically expressing positive emotions such as pride.","words related to emotions and attitudes, such as ""proud"" and ""embarrassing"".","words related to emotions, particularly pride and embarrassment.",expressions or words related to pride and embarrassment.
215,1,2204,"words related to legal and administrative processes, such as probation, suspension, recruitment periods, effective dates, selection notices, adjudication, control, and access.",words related to uncertain or incomplete actions and states.,words related to uncertainty or conditionality.,"words related to temporal aspects such as time, continuity, or pending actions, as well as words related to solidity or physical attributes of objects.","words related to the status or condition of an action, such as ""next"" or ""pending"", and also words related to solid or physical properties, such as ""solid"" or ""state""."
216,1,2595,"words related to self-referential or self-focused content, including words related to self-improvement and personal identity.",words related to self-identity and self-referencing.,words or patterns related to self-identification or personal pronouns.,references to oneself or personal identification.,words related to self-identification or self-referencing.
217,1,2834,words related to geographical locations or places.,words related to central locations or focal points.,"words related to locations, specifically focusing on points or areas that are central, such as 'core', 'center', and 'centre'.","words related to locations or places, particularly focusing on terms like ""center"" or ""centre"".",words related to locations or places.
218,1,3008,mentions of details or specific elements in the background of a scene or image.,"words and phrases related to the visual components of a scene, including the background, foreground, frame, and visual descriptions.","words and phrases related to the context or surroundings of a situation, such as ""background,"" ""foreground,"" and ""on white background.""","tokens related to the visual elements and settings in a scene, such as objects, locations, frames, and backgrounds.","words related to the spatial and visual aspects of a scene, such as ""across,"" ""background,"" and ""foreground."""
219,1,3530,URLs and file extensions related to websites and programming.,file extensions and technical terms commonly used in computer programming and web development.,"references to specific websites, file extensions, and file names.",file extensions and website domain identifiers.,keywords related to computer programming and web development.
220,1,4272,"time-related information, such as specific hours or time zone abbreviations.","time-related information, including specific times and time zones.",timestamps or time-related information.,timezone and timing-related tokens.,"time-related information, such as local time and time zones."
221,1,4756,words related to questioning or expressing doubt or skepticism.,words related to expectations or something that is supposed to happen.,words or phrases related to expectations or requirements.,words related to expectations or requirements.,phrases or words related to expectations or obligations.
222,1,4786,phrases or words related to self-reflection and self-perception.,words and phrases that indicate inclusiveness or universality.,phrases indicating inclusivity or universality.,words related to inclusivity and universality.,words and phrases related to inclusivity and collective identity.
223,1,5368,mentions or references to someone's favorite things or preferences.,words or phrases related to personal preferences or things that are highly regarded by individuals.,words related to preferences or favorites.,words related to preferences or things that are liked.,"words related to preferences, likings, and favorites."
224,1,5896,pronouns referring to male individuals.,"pronouns referring to males (he, his).","gender-specific pronouns (he, his) that refer to individuals in a general context.",pronouns referring to male individuals.,"pronouns, specifically 'he' and 'his'."
225,1,5964,phrases related to moral judgment and requirements.,words indicating necessity or requirement.,phrases indicating a requirement or necessity.,verbs indicating necessity or obligation.,words related to obligations or requirements.
226,1,6139,phrases related to work environments and settings.,words related to actions or states of being open or closed.,"references to doors or restrictions, specifically focused on closed or open doors.","words related to openings, closures, and access permissions.",words and phrases related to open and closed states or conditions.
227,2,1237,words related to determination and determination to achieve a goal.,words related to determination or intent.,verbs indicating determination or intention.,verbs related to determination and intent.,words related to determination or intention.
228,2,2243,comparisons or comparisons between different entities or quantities.,words or phrases used to make comparisons between different entities or situations.,comparisons or comparisons between different things.,words or phrases related to making comparisons or evaluating differences between things.,"comparisons between different quantities, values, or situations."
229,2,3118,"words related to historical events, launches, entries, and introductions.",words related to the act of entering or joining a particular state or place.,words related to starting or joining something.,verbs related to entering or joining.,"verbs related to beginning or starting, particularly in the context of entering or joining something."
230,2,3821,"past tense forms of the verb ""to be"" (was and were).","instances where the word ""was"" is used in the text.","verbs in past tense, specifically the word ""was"" as a past tense form of the verb ""to be"".",occurrences of the past tense verb 'was'.,"past tense forms of the verb ""to be"" (e.g., ""was"" and ""is"")."
231,2,5025,"mentions of the country ""India"" and related topics such as political parties, disappointments, and rituals.","references to or mentions of the country ""India"".","mentions or references to the country ""India"".","mentions or references to the country ""India"" and related terms.","mentions or references to the country ""India"" as well as words related to political parties or political activities."
232,2,6018,"words related to the spread or circulation of information, rumors, or content.","words related to the dissemination or propagation of information, ideas, or content.",words related to the act of spreading information or content.,words related to the dissemination or propagation of information or ideas.,"words related to the dissemination or circulation of information, often in a negative or harmful context."
233,3,17,mentions or references to specific dates or events.,"the word ""on"" in different contexts and uses.","occurrences of the word ""on"" within a sentence.","the preposition ""on"" used in various contexts or situations.","phrases or tokens related to being ""on"" something, such as participating in an app, being on social media, or events happening on a specific date or location."
234,3,904,parentheses.,opening parentheses in text.,parentheses and square brackets used for listing and providing additional information within a sentence.,parentheses or brackets.,parentheses.
235,3,2010,"words related to associations or connections between objects, concepts, or individuals.","words related to relationships, connections, or belonging.","words related to connections, associations, or relationships with other entities or objects.",words or terms that are linked or connected to something else.,"words related to connections, relationships, or associations between entities."
236,3,2819,"words ending in ""-ier"" or related to comparisons and rankings.",words ending in 'ier' that are commonly found in names or locations.,words or tokens related to surnames or last names.,words or parts of words that end in 'ier'.,"words ending in 'ier', particularly names or words that have a similar structure."
237,3,3801,words related to risk analysis and assessment.,words related to risk and potential hazards.,"words related to risk, such as ""risk,"" ""risk mitigation,"" ""odds ratio,"" and ""security risk.""","words related to risk and hazard, as well as certain terms related to specific domains such as ""habit"" and ""habitat"".",words related to risks and hazards.
238,3,4346,words related to imagination and envisioning different scenarios.,words related to imagination and envisioning possibilities.,words related to imagination or envisioning hypothetical situations.,words related to imagination and the act of envisioning.,words related to imagination and envisioning.
239,3,5401,"sentences containing contractions with ""ve"" (have).","contractions of ""have"" (e.g., 've) in text.","contractions such as ""ve"" (short for ""have"") and ""you've"".","contractions of the word ""have"" (e.g., 've).","contractions of ""have"" with words preceding it."
240,4,732,words related to technical support or assistance.,"words or phrases related to assistance, help, or backing.",terms related to providing assistance or help.,"words related to providing assistance or help, specifically in terms of support or customer support.",terms related to providing assistance or help.
241,4,1160,"words related to user actions or interactions with a website or platform, as well as instructions or prompts.","contractions of ""have"" in various contexts and sentences.","contracted words with ""ve"" such as ""you've"" or ""I've"".","contractions of the verb ""have"".","contractions of the word ""have"" (e.g. 've)."
242,4,1460,"words related to progress, achievement, and advancement.","words and phrases related to progress, advancement, and movement.",words related to progress or advancement.,words related to progression or advancement.,words or tokens related to progress or advancement.
243,4,2476,phrases related to providing assistance or help.,words related to providing assistance or support.,words related to providing assistance or help.,words related to assistance or support.,words related to offering assistance or providing help.
244,4,5606,"words related to wrapping or covering, particularly with blankets, hugs, or kisses.","references to covering or wrapping objects, particularly with blankets.","references to objects or actions related to covering or wrapping, such as blankets, wraps, or folding.","words related to covering or wrapping, particularly with regard to objects like blankets.",words related to coverings or wraps such as blankets and wraps.
245,5,385,words related to online posts or forums.,"the word ""post"" in various contexts, such as social media posts, blog posts, and postal services.","words or phrases related to online or written communication, such as ""post"" or ""media"".",tokens related to online forums or social media platforms.,"the word ""post"" in various contexts, such as social media posts or military posts."
246,5,3834,"occurrences of the word ""let"" followed by other words or phrases.",expressions of permission or granting.,words related to giving permission or allowing something.,"the word ""let"" in different contexts and phrases related to permissions or allowing something.","the word ""let"" used in various contexts, such as expressing permission, allowing, or enabling something."
247,6,301,"mentions of the word ""Buck"" in different contexts.","references to a person or a specific name, specifically those containing the word ""Buck"".","mentions or references to specific names or terms that include the word ""buck"" in them.","tokens related to the name ""Buck"" or references to the name ""Buck"" in different contexts.","references to the name ""Buck"" or words containing ""buck."""
248,6,923,"words related to publishing, scientific vision, cognitive abilities, and education.",words related to sensory perception and aspirations/goals.,"words related to perception and senses, such as seeing, hearing, and vision.","terms related to perception and senses, specifically sight (vision), hearing, and cognition. It also seems to identify specific names or words related to these concepts, such as ""vision"" or ""Darwin.""","words related to perception and senses, such as seeing, vision, and ability."
249,6,2658,days of the week.,days of the week.,days of the week.,days of the week.,days of the week mentioned in the text.
250,6,5083,"words related to legal actions or decisions, such as appeals, refusals, and difficult cases.","words related to denial or rejection, especially in the context of legal matters or disagreements.","words related to resistance, opposition, or rejection.",words or phrases related to denying or rejecting something.,words related to denial or rejection of something.
251,6,6259,words related to theft or robbery.,words related to theft or robbery.,words related to theft or robbery.,"words related to theft, specifically robbery and stolen items.",words related to theft or robbery.
252,7,2417,"the word ""without"", potentially indicating a lack or absence of something.","occurrences of the word ""without"" in the text excerpts.","instances where the word ""without"" is used in a negative or exclusionary context.","the word ""without"" in various contexts, suggesting a lack or absence of something.",phrases or words related to lack or absence.
253,7,4117,words related to storytelling or sharing personal experiences.,words related to recounting or sharing information or stories.,words related to recounting or recalling events or stories.,verbs related to communication or storytelling.,verbs related to communication or sharing information.
254,8,1078,"instances of the word ""each"".","instances where the word ""each"" is present.","occurrences of the word ""each"" in sentences.",instances where the text refers to individual items or objects.,"instances where the word ""each"" is used in the text."
255,8,5580,"words related to criminal activities, specifically arrests and charges.","instances of criminal activity, particularly related to arrests and charges.","words related to legal actions and law enforcement such as ""arrested"", ""charge"", ""crime"", and ""police"".","words related to law enforcement activities, specifically related to arrests and charges.","words related to law enforcement activities, such as arrests, charges, and offenses."
256,9,914,words related to strong recommendations or endorsements.,words related to showing support or emphasizing intensity.,adverbs that indicate a strong or emphatic sentiment.,"words or phrases related to intensity, emphasis, or conviction.",words related to expressing strong support or endorsement.
257,10,4404,phrases related to legal and administrative text.,tokens and phrases related to sequence or continuation.,"words related to continuation or sequence, such as ""end"", ""following"", ""after"", and ""follow"".","words related to sequence, order, and following.",words related to sequences or order.
258,13,3566,words related to discussion and analysis of proposals or ideas.,tokens related to suggestions or plans being put forward for consideration or approval.,"words related to suggestions, ideas, or plans.",text related to suggestions or plans.,words related to suggestions or plans.
259,24,1456,"words related to natural disasters, particularly waves and earthquakes.","words related to waves, whether they are physical waves (e.g. ocean waves, seismic waves) or digital waves (e.g. wave features in a phone).","words related to natural phenomena, particularly waves or vibrations.","words related to waves, whether it be literal waves (such as ocean waves or waves in a crowd), metaphorical waves (such as a wave of popularity or a wave of a hand), or waves in the context of technology (such as wave as in a signal wave or a wave in sound frequencies","references to waves, which can have different contexts such as ocean waves, sound waves, or technological waves."
260,0,20,"the word ""but"" in various contexts.","the conjunction ""but"" in sentences.",phrases relating to contrasting or opposing ideas.,"conjunctions like ""but"" used to introduce contrasting information or ideas.","conjunctions, specifically the conjunction ""but""."
261,0,749,keywords related to food delivery and return policies.,words and phrases related to delivery services and options.,words related to delivery and the transportation of goods.,words and phrases related to delivery services.,words related to delivery services and returning items related to delivery.
262,0,1619,words and phrases related to moderation or moderate behavior.,words related to moderation or moderation in behavior or expression.,words related to moderation or a moderate stance.,words related to moderation or the act of moderating.,terms related to control or moderation.
263,0,2407,terms related to unexplained or unrelated phenomena.,"words related to connections, associations, relationships, and things that are unexplained or unrelated.","words related to connections or relationships between different things, as well as the concept of something being unexplained or unrelated.","words related to connections, associations, and relationships between different things.",words related to things that are not connected or explained.
264,0,3286,words related to joy or positive emotions.,"words related to positive emotions, specifically joy.",words related to positive emotions or experiences.,"words related to positive emotions or experiences, particularly the emotion of joy.",words related to positive emotions or feelings of happiness.
265,0,4322,"words related to ancestry and cultural significance, particularly in relation to Native American and African American heritage.","words and phrases related to ancestry, heritage, and cultural history.","terms related to ancestry, lineage, and heritage.","terms related to ancestry, heritage, and cultural identity.","terms related to ancestry, heritage, and family history."
266,0,5085,instances where individuals are approached by someone.,instances of people or objects approaching or being approached by others., instances where someone is being approached by someone else.,"instances of people being approached or people approaching others, often in a confrontational or suspicious manner.",instances of people being approached or accused in various contexts.
267,1,37,words related to the concept of modesty.,tokens related to the concept of being modest or having modesty.,"mentions or references to the word ""modest"".",words related to being modest or having modesty.,"references or mentions of the word ""modest""."
268,1,355,keywords related to gas and gas-related incidents.,"keywords related to gas, such as gas itself, gas-related activities (e.g., calling the gas board, smelling gas), and gas-related incidents (e.g., set on fire with gas).","words related to gas-related incidents or items such as leaks, cylinders, and stations.",words related to utilities and substances such as gas and cylinder.,words related to gases or gas-related incidents.
269,1,455,words related to cheating or unfair behavior.,words related to cheating or dishonest behavior.,words related to dishonesty or cheating.,"words related to dishonest or unfair behavior, specifically cheating.",words related to cheating or dishonesty.
270,1,545,information or references to resolution and image quality.,"words related to image quality, specifically the term ""resolution"".","words related to measurements, such as ""resolution"" or ""pixels"".","words related to image quality, such as ""resolution"".",words related to image quality and clarity.
271,1,1027,"phrases related to legal, political, or controversial issues.","the word ""such"" used to introduce examples or instances.",phrases or words that indicate the presence of specific examples or instances of something.,"instances of the word ""such"" used to exemplify or provide examples of something.",phrases indicating a specific kind or type of something.
272,1,1476,words related to specific details or specific topics mentioned in the text.,words or phrases that indicate a particular or precise focus or detail.,specific details or specifications within a given context or subject matter.,words or phrases that indicate specificity or emphasis on certain details.,words related to specificity or particularity.
273,1,1654,words related to stability or unstable conditions.,words or phrases related to stability and safety.,words related to stability or stability-related concepts.,"words related to stability, whether it's stability of physical conditions, stability of systems or software versions, or stability in relationships or situations.",words related to stability or stability-related concepts.
274,1,1734,mentions of unused or extra items or resources.,words related to having extra or unused items/resources.,"references to something that is extra, additional, or not currently in use.",words related to extra or additional items or resources.,words related to having extra or additional items or resources.
275,1,2088,words related to physical or emotional harm.,words related to physical or emotional pain and injury.,words related to physical or emotional harm or injury.,words related to physical and emotional pain or harm.,words related to physical or emotional pain or harm.
276,1,2899,"words related to demand, particularly in the context of market or pricing.","words related to supply and demand in various contexts, such as market demand and popular demand.","words or phrases related to supply and demand, market dynamics, and customer needs.","words related to economic concepts, specifically supply and demand.",words related to supply and demand or economic factors.
277,1,3315,phrases related to depth or deep thoughts.,words related to depth or intensity.,adjectives related to depth or intensity.,words or phrases related to depth or intensity.,words related to depth or significance.
278,1,3538,arguments or statements related to a specific topic or subject.,words and phrases related to arguments or debates.,words or phrases related to arguments or debates.,"occurrences of the word ""argument"" and related terms such as ""possible"" and ""point"".",words related to arguments and discussions.
279,1,3655,"phrases related to writing, entertainment, and news coverage.",contractions or possessive forms of words.,"contractions where the word ""it"" is followed by an apostrophe ""s"".","contractions of words, specifically ""is"" contracted as ""'s"".","contractions of words, specifically the contraction ""it's""."
280,1,3738,"occurrences of the word ""use"" or related phrases.","instances where the word ""use"" is mentioned repeatedly in different contexts and forms.","instances of the word ""use"" or its variants used in various contexts.","the token ""use"" in various contexts, indicating a preference for identifying instances where something is being utilized or employed.",words related to the action of using or utilizing something.
281,1,4060,references to pulling or maintaining a pulling force.,terms related to physical pulling or tugging actions.,words or phrases related to pulling or tension.,words related to pulling or applying force in a physical or metaphorical sense.,words related to physical actions involving pulling or exerting force.
282,1,4319,"words related to social or economic comparisons, such as ""comparatively"" or ""relatively"".","adverbs that compare or provide a degree of comparison, such as ""comparatively"" and ""relatively"".",words and phrases related to comparisons or relative measures.,words or phrases that indicate a comparison or relative degree.,"adverbs indicating a comparison or degree, such as ""comparatively"" or ""relatively""."
283,1,4433,phrases related to medical isotopes and their uses or components.,"words ending in ""ope"" or containing the sequence ""ope"".","words or part-words that contain the sequence ""ope"".","words or parts of words that contain ""ope"".","words or parts of words related to the word ""hope"" or similar sounds."
284,1,4718,words related to surprise or seriousness.,"adverbs and adjectives that indicate sincerity, intensity, or seriousness.",adjectives or adverbs that indicate sincerity or seriousness.,adverbs that express sincerity or intensity.,words related to sincerity or seriousness.
285,1,5086,references to seasons and time periods.,words related to the season of summer or activities/events typically associated with summer.,"references to time periods, specifically the summer season.","words related to seasons and time periods, particularly emphasizing the summer season.","references to seasons, specifically the summer season."
286,1,5175,names of characters or individuals.,phrases or words that indicate possession or ownership.,phrases or clauses introducing possessive relationships or relative clauses.,"relative pronouns and possessive pronouns, specifically ""whose"".","phrases or clauses that contain possessive pronouns such as ""whose""."
287,1,5259,words related to debt and financial transactions.,"words related to financial and monetary concepts, particularly debt and credit.","words and phrases related to financial matters, specifically debt and borrowing.","terms related to financial transactions and obligations, specifically focusing on words associated with borrowing, lending, and debt.","words related to financial terms and concepts, especially those related to borrowing and debt."
288,1,5979,words and phrases related to relationships and family dynamics.,"references to romantic partners, specifically the term ""boyfriend"".","words related to relationships and personal connections, specifically referring to partners/boyfriends.",references to romantic relationships or partners.,"mentions of romantic partners or significant others, specifically the term ""boyfriend."""
289,1,6278,"words and phrases related to subscription, missing persons, and Halloween events.","words and phrases related to holidays and events, particularly Halloween.","words related to events or occasions, particularly related to holidays or festivities such as Halloween.",words and phrases related to events or topics associated with Halloween.,words related to events and themes related to Halloween.
290,2,121,references to actions or descriptions related to plugging in or connecting objects or devices.,"references to plugs, levers, covers, and power-related actions or objects.",words related to connecting or disconnecting objects or devices.,words related to inserting or connecting something.,words related to connecting or disconnecting devices or objects.
291,2,858,words related to hesitation or uncertainty.,experiences or expressions of hesitation or nervousness.,words or phrases related to hesitation or nervousness.,"words or phrases related to uncertainty, hesitation, or nervousness.",words or phrases related to hesitation or nervousness.
292,2,1274,"words related to the front or frontal areas of something, such as the front of a person or the frontal lobe of the brain.","words related to the front or frontal area of something (e.g., front of the car, front of the visual environment, front of the body).","words related to the physical location of things, particularly focusing on the front or front-facing aspect.","words related to the front or front-facing aspects of something, such as activation, front, frontal, etc.",words related to the front or anterior position in space or the visual field.
293,2,2158,terms related to electricity supply and consumption.,words related to availability and provision of resources or goods.,"words related to the concept of supply, such as ""supply,"" ""consumption,"" ""manufacturer,"" and ""supply crate.""","tokens related to the availability, provision, and distribution of resources or goods, particularly in the context of power consumption, supply, and manufacturers.",words related to the concept of supplying or providing something.
294,2,2350,words related to blues music or related terms.,references to the blues music genre or anything related to it.,"references to music genres, particularly blues.",words related to the musical genre of blues.,"references to the musical genre ""blues"" and related terms."
295,2,2903,"the word ""either"" in various contexts.","the word ""either"" in sentences, indicating a comparison or choice between two options.",indications of multiple choices or alternatives.,"instances where ""either"" is used to present options or alternatives.","the word ""either""."
296,2,3207,"keywords related to workshops or work-related activities, such as ""workshop,"" ""works,"" and ""work.""","words related to work, workshops, and programs.","words related to work or workshops, such as ""workshop"", ""works"", or ""rework"".","words related to work, particularly in the context of workshops, projects, and tasks.","words related to workshops, works, and work-related activities."
297,2,3468,"words and phrases related to clutter, messiness, and disruption.","words related to disorder, chaos, and disruption.",words related to disorder or disruption.,"words related to disorder, disruption, and messiness.","words related to disorder, chaos, or disruption."
298,2,4505,words related to confidence or levels of confidence.,words and phrases related to self-assurance and belief in oneself.,words related to confidence or assurance.,words related to self-assurance and belief in oneself or one's abilities.,words related to self-assurance and belief in oneself.
299,2,4896,keywords related to contracts and contractual agreements.,"words related to legal agreements or arrangements, specifically ""contracts"".",words related to legal agreements or contracts.,"words related to legal documents, specifically contracts.",words and phrases related to legal agreements and financial contracts.
300,2,5990,words related to political or organizational headquarters.,"mentions of organizational or corporate locations, specifically the term ""headquarters"".","references to physical locations, particularly buildings or places serving as central hubs or bases.",mentions or references to the main offices or central locations of organizations or institutions.,words or phrases related to organizational or corporate offices or locations.
301,3,3477,possessive forms of words.,"contractions of ""is"" in sentences.","contractions of the word ""is"" in various contexts.","contractions of ""is"" (e.g. ""it's"", ""he's"", ""she's"").","possessive forms of words, specifically the contraction ""['s]""."
302,3,3878,terms related to political advancements or progress.,"words related to progress, advancement, or movement forward.",words related to progress or advancement.,words related to progress or advancement.,"words related to progress, advancement, or moving forward in a particular context or situation."
