Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
27,359,"short, common words and punctuations.","expressions of surprise or revelation, often indicated by the interjection ""oh"".",interjections and words related to manual work or craft.,common English conjunctions and interjections.,"beginnings of sentences and exclamation expressions, specifically those starting with 'Oh'."
27,1055, phrases related to time and records.,"sentences related to instances, records, milestones, or specific numbers.","words and phrases related to records, significant events or notable quantities.","words and phrases associated with quantity, records, and significant events or timemarks.",prepositions and articles within a sentence.
27,1061,the word 'foot' often used in a measurement or positional context.,"the word ""foot"", regardless of its contextual meaning.","uses of the word 'foot', either standalone or part of a longer phrase.",instances where the word 'foot' is used as part of a compound term or figure of speech.,"uses of the word 'foot', regardless of context."
27,1720,terms and concepts related to technology and technical operations.,"words that denote focus, alertness or concentration.",abbreviation in a square brackets and single word contractions.,words related to attention and focus.,"tokens found in various technical contexts ranging from product features, television broadcasting, medical conditions, technology standards, to web browsing."
28,189,sentence constructions involving conditional statements and uncertainty.,instances of the indefinite article 'a' and the process of performing an action or task.,text segments related to performing a task or professional activity.,words that denote initiation of an action or a process.,"the presence of articles (""a"", ""the""), punctuation ("","" ,""."") and common auxiliary verbs (""have"", ""is"")."
28,593,statements of personal pronouns directly referring to the subject in the sentence.,"common conjunctions, prepositions and verbal auxiliaries.",common prepositions and conjunctions.,"common function words such as articles, prepositions, and conjunctions.",sentences or phrases indicating negations or opposition.
28,759,"letter 's' at the end of words or standalone, which may indicate plurals or possession.","the letter 's', whether it's part of a word or standalone.",the letter 's' at the beginning of the word.,"the letter 's' in different contexts, including as a standalone token, the start of a word, and as a part of a contraction.","the letter 's', often as a standalone token."
28,1103,"phrases and wording relating to professional business services, particularly in design and construction.",first person plurals or nouns and pronouns related to individual possession or action.,"first person plural pronouns and associated contractions, often in the context of providing a service or offer.",words and phrases indicative of ownership or provision of services., words related to selling or the offering of professional services.
28,1352,personal pronouns in the context of action or state verbs.,words related to people and their actions or locations., prepositions related to location or association., words and phrases related to locations and beings.,proper names and pronouns in context related to storytelling or description.
29,108,key conjunctions and prepositions indicating relationships or interactions.,any kind of connector words and phrases that link ideas and elements in a sentence together.,"words and phrases related to legal terms, business processes, anatomical structures, and mathematical rules or principles.","words that indicate relationships, actions, and conditions, as well as common conjunctions and punctuation marks.","tokens related to correlation, relation, and connection between different aspects or entities."
29,332,"conditional statements usually containing ""if"" and ""you"".",conditional statements or suggestions regarding actions one should take.," conditional phrases starting with ""If you"".","conditional phrases, particularly those starting with ""if"" and relating to suggestions or requirements."," imperative statements or instructions, especially those which include conditions or dependencies."
29,617,words starting with 'Har' and 'War'.,words or parts of words related to conflict and war.,the word 'Har' and 'War' as individual word parts within larger words.,words or parts of words related to conflict or household items.,"words that are related to war and words starting with ""Har""."
29,875, phrases expressing possibility or hypothetical scenarios.,"words that express possibility, uncertainty, or show a condition or requirement.","conjunctions or prepositions, specifically ""that"" and ""as"", often used in a context of making clarifications or explanations.",words or tokens that are used in cause-effect relationships or comparative contexts.,words and phrases involved in explanations or clarifications.
29,1466,words and phrases relating to comprehensiveness or completion.,"instances of the word ""whole"" used in various contexts.","the phrase ""the whole"" followed by a noun.",the use of the word 'whole' usually in context with an object or process.,"the phrase ""the whole"" in various contexts."
30,989,words and phrases related to close relationships and interactions.,words and phrases that pertain to close relationships and community.,words and phrases associated with close relationships or companionship.,words and phrases related to community and relationships.,"words and phrases representing close relationships or connections, such as community, family, close friends, and intimate relationships."
30,1015,expressions related to putting something to rest or sleep.,"instances of the word 'to', indicating a purpose or result.","phrases related to ending or resolution, often encapsulated by the phrase 'to rest'.","instances of the preposition 'to', especially in the context of the action being initiated or completed.
","phrases related to ending or concluding something, often represented by the context 'to'."
30,1022,phrases indicating proximity or part-whole relationships.,"the phrase ""part of"" and related phrases indicating proximity or inclusion.","phrases indicating proximity or inclusion, whether in relation to sources or parts of a whole.","phrases related to proximity and belonging, often indicating a source of information or the involvement of a person or thing in a larger group or context.",phrases that indicate proximity and connection in both physical and conceptual terms.
30,1782,action-related verbs and direct objects in sentences.,verbs that indicate actions taken by individuals or groups.,actions or activities involving one or more individuals.,"action verbs associated with direct and indirect speech, as well as conflict situations.",action verbs and prepositions in the context of people's interactions.
30,1873,words related to digital technology and software.,"variations of the word 'Mac' which could refer to a name, a brand or a type of computer technology.",words or parts of words related to computers or digital technology.,terms related to technology or technological devices., parts of words that can form multiple meanings depending on the context.
31,3079,expressions related to the duration of an action.,phrases related to the passage of time.,expressions related to the passage of time or duration.,expressions related to the measure of time or duration.,phrases indicating time duration or speed.
31,5080,proper names and titles.,specific names and nouns associated with objects or actions.,proper names and nouns indicative of items or objects.,nouns related to objects or people involved in events or activities.,proper nouns and common nouns related to conflict and actions.
31,3496,the word 'just' and words or phrases that indicate uncertainty or speculation.,words and phrases that minimize the importance or impact of a situation or event.,"definite article 'a' and adverbs 'just', 'all', 'not', and 'simply', often used in context of downplaying or simplifying a situation or matter.",words and phrases that express minimization or dismissiveness.,"words and phrases that convey contrast or qualification, often used in explaining or justifying situations."
31,2661,"phrases indicating conflict or negative interactions between individuals, especially involving law enforcement.",interactions or conversations involving conflict or disputes.,"language related to conflict or confrontation, particularly in law enforcement contexts.",sentences that detail confrontations or altercations.,"dialogue and action related to conflict or confrontation situations, especially involving authority figures."
31,4585,"sentences or phrases that discuss procedures or regulations, especially those related to reservations or legal processes.","use of coordinating conjunctions, especially ""and"", and the comma punctuation mark.","language used in formal instructions, information, and descriptions.","common words and symbols that could be part of any general context, including conjunctions, prepositions and punctuation.",words related to official or administrative instructions or regulations.
32,317,content related to health and medical records or conditions.,"tokens involved in professional, medical, or scientific contexts, often including technical vocabulary and data.",language related to medical conditions and health care.,"words and phrases related to professional documentation, medical conditions, medical treatments, medical risk factors and narratives about studying patterns in health conditions.",words and symbols related to medical and health information or documentation.
32,436, numerical data and mathematical computations or formulas.,tokens that are associated with mathematical equations or statistical data.," mathematical equations, numerical expressions, percentages and coding syntax.",parts of mathematical equations and programming code.,symbols and syntax commonly found in mathematical equations and programming code.
32,538,proper names and titles.,"common conjunctions and proper nouns, particularly male names.",proper names and associated titles or identifiers.,commonly used English conjunctions and nouns in clause beginnings.," small connecting words and punctuation, often used in fixed phrases or language structures."
32,1208,names and titles of people or characters.,names and clauses in brackets.,names of well-known characters or public figures.,names of people or characters.,people and character names within the text.
32,1277,numbers and punctuation.,tokens related to conflicts and battles.,"numbered references and sequences of words pertaining to physical actions, events, or states.","words related to physical actions or movements, paired with some punctuations.",punctuation marks and articles in the context of action or narrative.
33,524,words indicating position or personal possession.,tokens that are parts of names of individuals or complex concepts/terms.,"components of names, specifically surnames or brands.",parts of words related to action or status.,"short prepositions and conjunctions such as ""for"", ""on"", ""in"", ""to"", and possessives like ""his"", ""their""."
33,692,numbers and words related to progression or development.,common terms or phrases that imply a sequence or order of actions or events., conjunctions and prepositions that are often used to explain processes or sequences.,"words related to factors, elements or aspects contributing to a situation or outcome.",actions or processes along with the words that are indicating a sequence or progression.
33,789,instances of active doing or engagement.,tokens related to plans or foresight.,"nouns followed by possessive pronouns or determiners, specific numerical values, and items or ideas packaged within quotation marks or other types of punctuation marks.",words and phrases indicating a state or scenario., words and phrases indicating an ongoing process or action.
33,981,words related to social relations and interactions.,words and phrases indicating past actions or historical events., occurrences of specific entities or institutions represented by acronyms or nicknames., action verbs and acronyms.,"names of people, places, and institutions."
33,995,numerical values and units of measure.,"details related to software technologies or personal biographical facts such as dates, measurements, and names.","information related to personal details or descriptions, likely from profile or biography texts.","terms indicating technology, bio-data, and punctuation marks denoting the end of a sentence or sub-sentence.","numerical values, punctuation marks, and the names of digital platforms and technical items."
34,42,numeric values and related terminology.,tokens associated with action or movement.,words and numbers associated with physically active or athletic actions and events.,"various aspects of active and physical scenarios, including sports, action-packed events, movement and numbers related to distance or measurements.","specific words and phrases often encountered in rules, descriptions or explanations, in particular related to games, sports, and geographic locations."
34,270,phrases related to searching activities.,"words and phrases related to search, investigation or comparison.",conjunctions and prepositions used in the sentences.,"conjunctions and prepositions, as well as words related to investigations and comparisons.","conjunctions, articles, and words associated with inquiry or seeking information."
34,729,instances of conversational language or informal speech.,"text related to personal expressions, preferences, or personal actions."," words related to efforts, attempts or processes of making or creating something.",words that express a personal viewpoint or intention.,tokens that indicate personal opinions or preferences.
34,773,terms related to computer programming and sports teams.,keywords that are specific or unique to particular contexts or subject matters.," specific names, codes, technical commands/terms, or sports teams.","specific terms or names related to various specific contexts such as coding, sports, and adult content.","words and terms related to online content including streaming, programming, testing, and rating."
34,956,"prepositions, specifically the word 'on' and 'of'.",phrases detailing actions or processes involving multiple subjects.,"narrative descriptions of actions or events in a story or plot, especially those related to character interactions.",common English prepositions and conjunctions.,"conjunctions, prepositions and pronouns commonly used to connect ideas in sentences."
35,742,phrases related to positions of authority or leadership.,references to leadership roles and positions., phrases indicating leadership roles or positions.,"tokens signifying roles, positions or titles in various settings.","verbs related to leadership or authority roles and associated prepositions, particularly in a political or structural context."
35,1017,phrases and terms related to competitive or conflict situations.,"uppercase letters, acronyms, punctuation, and common English prepositions and conjunctions.","references to team names, events, and game-related terms, particularly from multiplayer online games.","short words and abbreviations, many of which are in brackets or parentheses.","topics, components, and concepts related to gaming and online multiplayer activities."
35,1582,references to political figures and political roles or procedures.,"phrases related to politics, particularly those concerning nominations and appointments.","political terms, specifically related to government offices and nominations.",phrases related to political appointments and nominations.,terms and phrases associated with political nominations and legislative procedures.
35,1858,"expressions of hope, anticipation, and future actions.",words and phrases associated with locations or directions.,phrases that indicate actions in the future or indicate an action that will be repeated.,words and phrases that indicate the direction or location of something.,"parentheses and punctuation symbols, such as the comma, exclamation mark, and also words related to recurrence or repeating events."
35,2365,"expressions related to creation or construction, particularly with a connection to fine materials or craftsmanship.","verbs and tokens related to the act of creating, producing, or establishing something.","verbs related to the creation or execution of something, especially in an elaborate or detailed manner.",tokens related to actions and invitations.,"phrases related to the process of creation or development, whether it's about making a product, planning an environment, voicing concern or opposition, organizing an event, or inviting to a historical place."
36,164,descriptive details about certain subjects or places.,commonly used words and punctuation in a sentence.,words and phrases that relate to political topics or issues.,commonly used words and punctuation in journalistic writing.,"punctuation marks and very common English words such as ""in,"" ""the,"" and ""of""."
36,312,keywords related to financial and business terms.,tokens related to business and finance.,words and phrases related to business and financial operations or transactions.,words and phrases related to business operations and financial transactions.,tokens related to business dealings or actions.
36,328,phrases related to international trade relationships and transactions.,words related to international trade and economic relations.,phrases related to international trade relations and economics.,tokens related to international trade and geopolitical relationships.,words and phrases related to international trade and policy.
36,631,"numerical values and specific markers of evaluation or opinion, as well as tense constructs depicting activity or action.",numbers or numeric values.,"numbers, especially those indicating dates or years.",numerical information and punctuation indicating a new sentence or clause.,numerical values and punctuation marks.
36,725,action verbs associated with removing or separating.,verbs that express taking off or releasing something.,color descriptions and actions of removing or taking off something.,verbs indicating actions and the objects or subjects of those actions.,words and phrases related to clothing and fashion attributes.
37,535,"descriptions related to colors and patterns, often in context of apparel or kits.","descriptions related to physical attributes, specifically colors and patterns.",descriptions of uniforms and costume designs.,"words related to color and design descriptions, particularly in the context of kits and uniforms.","references to colors, shapes, and patterns associated with design descriptions, particularly related to clothing and sports gear."
37,867, numerical data and related statistical information.,"words related to legal, administrative, and informational contexts.",words and phrases showing assertions or claims in a legal or official context.,tokens related to bureaucratic and procedural language.,"tokens involved in legal or official language, or related to documentation or legal processes."
37,868,phrases related to following instructions or rules.,"words and phrases associated with rules, instructions, and permissions.","terms and phrases associated with rules, restrictions, or conditions.","words or phrases suggesting permissions, restrictions, or conditions.",instructions or directives in a text.
37,1057,phrases related to technological and scientific processes.,"words related to the process of assembling, establishing or creating something.","technical terms and phrases related to systems, processes, or mechanisms.",commonly used prepositions and articles.,"phrases related to communication, transmission, transfer or exchange of information."
37,1494,"people's names, especially in a professional or artistic context.","short, distinctive parts of larger elements such as names, programming command lines and also includes use of hyphens.","terms related to roles, professions, or functions in a project or event.","components of names, both of people and entities, and symbols used in coding context.","words and symbols typically used in formal documents or scripts, like stage directions or coding sequences."
38,71,"references to individuals, especially in the context of news or events.",tokens associated with news reports and updates about individuals.,"references to well-known people, specifically individuals within politics, sports, and the media.","tokens related to reporting or discussion of events, specifically in news context.","pronouns, proper nouns, and some verbs related to people, their social entanglements, and activities/events."
38,106, phrases and sentences related to gaining and utilizing abilities or powers.,"references to abilities, powers or privileges.",actions and abilities related to a subject or a person.,"words related to possession ('s), articles (a, the), conjunctions (and), prepositions (to, by, from), and terms related to capabilities and power (abilities, powers, have, gain).","tokens that are associated with action or processes, including verbs, nouns indicating action or process, and pronouns referring individuals or entities involved in actions."
38,679,phrases related to policy violation and enforcement.,"terms related to regulations or rules, both formal and informal."," references to policies or rules, especially those involving regulatory and enforcement practices.","words and phrases associated with rules, policies, and violations.", words and phrases related to rules and policies.
38,692,numeric values and their related context.,tokens associated with quantifiable data or statistical information.,numeric or quantifiable information.,tokens related to measurement or rankings in various contexts.,numbers and words related to quantities or rankings.
38,899,words related to team effort and joint actions.,"specific proper nouns, especially names of people and groups, and important goal-related keywords.",words related to team or group activities or tasks.,"parts of words that are associated with groups, partnerships, and collective endeavors.",words related to team actions and cooperation.
39,131,"words and phrases related to criminal activity, legal proceedings, and investigations.",phrases related to legal cases and investigations.,words and phrases associated with investigations and legal proceedings.,words and phrases related to legal and judicial processes.,"legal and investigative language, often related to violations and charges."
39,450,recognizable parts of personal names and titles.,separators and conjunctions within lists and sentences.," punctuation marks, especially those used in list formatting and social media handles.","lists, punctuation used in lists, and words used for attribution in a context.","quoted text, mentions of people's names, line breaks, and colors."
39,622," sentences expressing thoughts, doubts, and self-reflection, frequently marked by punctuation like question marks or exclamation points.","dialogue or conversational language, particularly phrases or tokens associated with thoughts or emotions.",direct speech or dialogue punctuation and words used in conveying personal thoughts or reflections.,"first person reflective statements, including thoughts and feelings as well as punctuation related to dialogue.", words and punctuation marks typically used in direct quotes or dialogues.
39,1467,phrases that denote a process or transformation over time.,tokens related to actions or changes being made over a period of time.,"expressions depicting a process, progress, or sequence of actions.",both the verbs indicating intent or promise and parts related to geographical locations.,"tokens descending from ""transitive verbs"" (verbs that require an object) and their associated elements."
39,1857,words that indicate actions or processes happening over time.,"common elements of sentence structure, including conjunctions, prepositions, articles, and punctuation.","prepositions and articles, indicating it's focused on structural components of sentences.","frequently used words, such as conjunctions, prepositions and articles.",common words and phrases used in game-related and strategy discussions.
40,417,"proper nouns, specifically names of people or characters.",keywords related to the performance of specific characters in various narrative contexts.,"mentions of characters, their roles or attributes in a narrative or storyline.",tokens related to characters and their actions in a narrative context.,"parts of proper nouns, especially those related to character or person names."
40,426,"pronouns and prepositions, with a higher emphasis on pronouns.","tokens related to mathematical expressions, specific roles, and action verbs.",third person singular present tense pronouns and verbs.,words related to possession or actions.,"articles, prepositions, and conjunctions in a sentence."
40,484,"legal and official language, often related to codification or law changes.", words and phrases related to law and legal language.,legislative or legal language.,commonly used words in legal or formal texts.,"legal or formal language, especially around laws, amendments, and official regulations."
40,505,academic language related to scholarly writing and reviews.,"words and phrases related to academic writing, including types of academic works and parts of a written document.",terms and words related to academic writing and scholarly works.,terms associated with scholarly or academic writings and journals.,words related to academic writing and discourse.
40,685,technical terms and concepts related to computer hardware.,tokens related to technical specifications and performance reviews of computer hardware.,technical terms and specifications related to computer and electronic hardware.,technical language related to computer hardware and performance.,technical terms and words related to computer hardware and performance.
41,187,references to time such as dates and durations.,"references to time including specific dates, periods of time, and sequencing of events.",numeric values and dates., words related to time references and events in the past tense.,numerical values and words related to time or duration.
41,220,names or references to people and geographical locations.,"conjunctions, proper nouns, and punctuation marks.",punctuation and conjunctions used in listing or naming multiple items or people.,"conjunctions, punctuation marks used in a list, and names.","names and places, largely focusing on individuals' names and geographical locations."
41,390,numeric values in the text.,terms related to personal or group identities (such as names and pronouns) as well as words representing limitations or specific conditions.,words referencing individuals or groups of people.,"pronouns, auxiliary verbs, prepositions, and nouns involved in defining human characteristics or relationships.","a mix of words and phrases related to law, policy, politics, and exercise regimes."
41,467,"prepositions, particularly ""from"" and ""for"".","prepositions, especially 'from', and punctuation marks.","prepositions, particularly 'from' or 'of', often indicating origin or possession.",prepositions and punctuation marks., prepositions and conjunctions in a sentence.
41,535,"words and phrases indicating actions and interaction, particularly online or digital actions.",words and phrases related to directions and instructions.,"tokens related to statements providing guidelines, instructions, or directions.","actions, directives, or process related terms.","common words and phrases typically found in instructions and directions, as well as numerical sequences."
42,3,sentences that depict direct speech or communication between people.,sentences where someone is communicating or expressing something., words and phrases related to hearing or auditory perception.,words and phrases related to communication or hearing.,words related to human sensory perceptions.
42,402,numerical values and related punctuation marks.,"tokens related to numbers, budgeting, and the healthcare industry.","terms and aspects related to healthcare, medical administration, and policy.","words related to monetary value, costs, and budgeting as well as punctuation marks like full stops and commas.","a range of elements including punctuation marks, currency symbols, short abbreviations, numbers, names, and conjunctions."
42,1579,"prepositions and conjunctions, especially in the context of measurements and sequence of events.","words indicating direction, comparison or progression in a context.",prepositions that denote a comparative or quantitative relationship.,prepositions or conjunctions.,prepositions and punctuation marks.
42,1660,references to individuals or groups involved in politics or military actions.,"words and symbols associated with titles, roles and actions in various contexts.",specific references to people or roles.,"keywords from contexts related to games, politics, and historical events.","various parts of a text including punctuation marks, numerical values, and prepositions."
42,1741,references to authority and decision-making processes.,the preposition 'on' and the name 'William'.,words associated with formal or legal actions and proceedings.,"the preposition ""on"" and the name ""William"".","tokens associated with formal settings, legal procedures, or politics."
43,975,terms related to computer hardware and software.,general technical and operational keywords related to computing and technology.," indefinite articles (""a"") and select commonly used nouns (like ""CPU"", ""computer"", ""window"", ""drawing"", ""population"").",commonly-used nouns in various contexts.,words and phrases related to computer processing and system operations.
43,982,"numbers, dates, and words related to geopolitical events.","tokens related to formal language used in reporting or discussions, particularly those in a diplomatic, political or instructional context.","specific terms or words that are relevant or crucial to the context of the sentences, often related to actions, entities, and locations.","a variety of words connected to various topics such as political and cooking actions, and positive words.","words and phrases related to formal or structured contexts, predominantly in political, baking, and gaming environments."
43,1352,names and numerical values.,single letters or very short words.,"references to actions or movements, typically in a physical or competitive context.","specific identifiers, such as names or proper nouns.",information related to sports or physical activities.
43,1411,"numerical values and their units, as well as words related to legality or copyright.","proprietary notices, instructions, camera specifications, and date references.","specific identifiers such as dates, quantities, brands, distinctive markers, and commands or instructions.",common words from actions in digital activities or from tech-related contexts., words and phrases related to digital and electronic functions.
43,1791,words and phrases related to competitive gaming and e-sports.,"various verbs, prepositions, and punctuation marks that generally appear in the context of task, comparison, location and ordering activities.","text related to competitive scenarios, particularly in games or contests.",punctuation marks and prepositions.,"words and punctuation related to discussions, especially in the context of analysis or decision-making."
44,1,cumulative phrases used in a sentence.,"verbs indicating action or change, and pronouns or prepositions that show relationship between elements in a sentence.","transactions or interactions, particularly those related to rules or operations.",transitive verbs along with their direct objects.,"words and phrases associated with ""doing"" or ""action"" events."
44,96,locations or geographical areas and their economic or resource-related contexts.,phrases related to economic processes and transactions.,"tokens related to regions or industries, and their production or economic activities.",words and phrases related to geography and property.,"words and phrases related to geographical locations and productions, particularly focusing on winemaking regions and processes."
44,427,punctuation marks and transition words/phrases.,punctuation marks and common linking words or phrases.,"occurrences of complete clauses in a sentence, often highlighted by punctuation such as commas and periods.","punctuation, auxiliary verbs, and conjunctions.",punctuation marks and common conjunctions.
44,509,numerical measurements and distances.,words related to measurements or units of distance.,"numerical values, especially those related to measures of distance.",words and phrases related to measurements and quantities.,descriptions of physical location or spatial positioning.
44,683,words and phrases related to competitive gaming or play strategies.,"terms and phrases related to gaming, particularly those associated with role-playing games (RPGs) and strategy.",phrases and terminology associated with gaming strategies and characters.,"texts related to gaming, specifically phrases and terms related to strategy and gameplay.","language related to gaming strategies and mechanics, specifically revolving around character abilities and gameplay tactics."
45,593,words associated with physical objects and their characteristics.,specific nouns and precise details or measurements.," specific and detailed descriptions in a variety of contexts, such as materials, numbers, or physical properties.",components of a list or specification.,descriptive words and numbers that specify properties or components of objects and situations.
45,694,product features and technical specifications.,technical details and specifications related to various products or systems.,technical jargon and specifications related to electronics and computers.,"common conjunctions, prepositions, and punctuation, along with parts of technical terms.",terms related to technology and electronic devices.
45,1122,words and phrases associated with instructions and information update.,second person pronouns and command verbs in informal text communications such as newsletters or website notifications.,second person pronouns and phrases commonly used in website interface or customer communication.,words related to commands and requests.," dialogue, instructions, or phrases typically used in online interfaces and communication, including apologies, requests, and validations."
45,1596,instances of people performing actions.,verbs indicating a state of being or an action taken and pronouns referring to an entity.,"forms of the verb ""to hold"" or verbs implying holding or restraining."," words indicating action, especially the ongoing or planned activities.",verbs related to actions performed by individuals or groups.
45,1872,"phrases indicating values, importance or significance of something or someone.","human-centered concepts, especially those emphasizing value, recognition, and common shared experiences.","commonly used English words that are essential for sentence construction but do not carry specific meaning like articles, conjunctions, pronouns, andother function words.",phrases that discuss the value or worth of human life and experiences.,"expressions related to the concept of value or worth, especially in the context of humans."
46,1153,"references to health conditions, hospitals, and treatments.","words and phrases related to health, medical conditions and treatments.","phrases and words related to medical conditions, healthcare, and disability services.","phrases related to healthcare, disabilities, and medical conditions.","mentions of health issues, medical conditions or healthcare provisions."
46,1164,scientific terminology and jargon.,academic or formal language including scientific and technical terms.,"technical and specialized terminology across various fields like archaeology, biochemistry, physics, and sports.",words and symbols related to the structure and organization of academic texts and reports.,"scientific terms and names related to chemistry, biology, and physics."
46,1319,phrases related to political entities and events.,tokens that are related to political actions and discourse.,parts of phrases related to politics and government affairs.,"Common parts of speech and punctuation marks such as conjunctions, prepositions, articles, and periods.",elements of political discourse or governmental issues.
46,1680,phrases and sentences that discuss transactions or exchanges.,tokens related to processes and transactions.,"phrases indicating a process or action being carried out, often in the future tense.","verbs that indicate an action or a process, often involving a subject and an object."," words and expressions that are commonly found in business, advertising and financial contexts."
46,1890,words and names related to competitive actions or events.,specific names or titles and signs of physical action or movement., proper nouns or specific names.,"parts of proper nouns and words connected to action or state, including possessives.",words related to actions and possessive relationships.
47,716, keywords and phrases related to data access and data presentation.,"tokens related to exclusive or restricted access, often referring to privileged user levels or data.","words associated with detailed procedures, access restrictions, and specific technical information.",words and phrases related to website navigation or access to restricted content.,English phrases related to instructions or rules for accessing a service or system.
47,1059,breaks or spaces in the text.,comma punctuation in the text.,"segments of text that are broken up with breaks, subheadings, or change of thoughts.","comma signs, indicating it is focusing on sentence separation or list items.","pieces of text that contain percentages, numerical values, months or breaks between paragraphs."
47,1512,paragraph spacing or line breakings within the text.,words related to legal and scientific terminology.," legal, scientific or technical phrases or words.",punctuation marks as well as words associated with formal or technical language.,tokens that represent punctuation and technical language.
47,1803,colons and periods within a document.,punctuation marks and conjunctions.,"punctuation, especially the use of colons, plus signs, and periods.",punctuation marks and capitalized words or phrases.,"symbols, abbreviations, and proper nouns."
47,2392,"terms related to law, regulation, policy, and rules.","words related to community rules, laws, and regulations.","words and phrases related to rules, guidelines, and policies.",words related to community guidelines and policies.,"words related to rules, guidance, and policy matters."
