layer,neuron,score,explanation
25,1700,0.409130528, words related to sports and physical activities.
25,16,0.465888653,"words and phrases related to the transfer or movement of objects, people, or information."
25,1694,0.380948905, words related to involvement or engagement in various contexts.
25,633,0.491028631, words and phrases related to family members or structures.
25,1787,0.713920428," instances of the word ""call"" and its surrounding context."
25,1919,0.404450229,"symbols and numerals that relate to technology, communication, and social media."
25,1519,0.541605043," instances of words that include ""that"" and grammatical contractions with 's."
25,1362,0.385509642, phrases related to gradual changes or progressions over time.
25,516,0.538626943,terms and symbols related to copyright and licenses.
25,1198,0.604721961," words related to colors, especially green."
25,1284,0.485099561,words and phrases related to political parties and organizations.
26,1300,0.368687782,verbs or situations involving a condition or state of 'while' something is happening.
26,1384,0.730995312,financial and banking related terms.
26,1007,0.357880081, phrases related to directional movement or paths.
26,136,0.432212821, numeric elements in the text.
26,697,0.48623005,"action verbs related to serving, performing, or participating in various activities."
26,304,0.384423424, legal terms and numbers related to laws and amendments.
26,1399,0.351097617," words and phrases related to supporting and assisting various causes, issues, or actions."
26,496,0.429800287," phrases related to taking a survey, answering questions, and the act of filling out forms."
26,1493,0.382968535,"numbers, including dates and exclamation marks."
26,650,0.500788337,"positions, placements, and fitting situations in a context."
26,1011,0.560141392," words related to being under, beneath, or less than something."
26,243,0.363974891, words and phrases related to different sizes and measurements.
26,1302,0.410011623, references to political campaigns and elections.
26,155,0.36594855,directional words and numbers related to positioning.
26,98,0.451241903, questions and their punctuation marks.
26,1267,0.707434919,adjectives describing small and plastic items or materials.
26,944,0.730943868,the word 'even' and related or nearby connecting phrases.
26,1718,0.486476963, words related to watching or viewing content.
26,1194,0.45975995, names of prominent political figures.
26,1689,0.387343816, words or phrases related to control and restriction.
27,473,0.352520071, words and phrases related to facing challenges or difficulties.
27,412,0.358414347," words and phrases related to revealing, showing or displaying something."
27,873,0.498108369,words and phrases related to the human body and physical appearances.
27,579,0.463507785, phrases related to questioning and seeking reasons.
27,1199,0.479267072,terms related to serving food and drinks.
27,653,0.697677497, words related to buildings and educational institutions.
27,1167,0.435378695, technical terms related to electronics and devices.
27,895,0.400416751, words and numbers related to gaming mechanics and rules.
27,1061,0.594647956,"the word ""foot"" followed by related context."
27,488,0.71834127, instances of square brackets and related content.
27,1955,0.36547605,question-related keywords and punctuation.
27,997,0.469618756, words related to driving and motion.
27,863,0.356570854, words and phrases related to offering and providing assistance or support.
27,195,0.62859888, forceful actions or movements involving objects or people.
27,767,0.456944455,words related to desire or need.
27,546,0.363297684, phrases related to making choices or expressing personal preferences.
27,443,0.394361476, words related to waiting or pausing.
27,621,0.677775568,verbs related to discovering or identifying something.
27,441,0.588349162,words ending with 'ic'.
27,167,0.546476322,verbs related to processing and comprehending information.
28,406,0.517215572, occurrences of the auxiliary verb 'have' and contractions involving 'have' with surrounding context.
28,1187,0.57867895,quotations and dialogue markers.
28,1711,0.418871985, phrases related to knowledge and information processing.
28,414,0.425710312, conjunctions indicating alternative options.
28,596,0.537662591,instances of the word 'been' and words around it that imply past actions or events.
28,134,0.447314228," auxiliary verbs, particularly ""do"" and variations of ""to be"" as part of a phrase."
28,1511,0.397377298, comparisons and expressions of preference.
28,411,0.567379683,words and phrases associated with dealing and coping with various situations and conditions.
28,1996,0.624224494,verbs related to making choices or decisions.
28,1247,0.507628805,words and phrases related to peace and tranquility.
28,429,0.516609548, words related to difficulty or effort.
28,654,0.3989353, wake-up calls and the concept of waking up.
28,697,0.693822818, instances of the word 'same' and phrases involving comparisons.
28,1894,0.358312865, numbers and numerical values.
28,1849,0.363623782,programming code symbols and syntax elements.
28,31,0.367089748,urban planning and development related terms.
28,246,0.405946343, words and phrases related to waiting and reserving.
28,1746,0.360950334," action verbs related to movement or forces exerted, often with an accompanying object."
28,1010,0.354696007, phrases indicating relationships and connections between people.
28,1864,0.845464387," the word ""most"" and occasionally other words displaying a degree of frequency or magnitude."
29,733,0.597026512, technical phrases related to programming languages and document formats.
29,1725,0.565742654," instances of the word ""number"" and related numerical values."
29,816,0.358565246, words or phrases related to university abbreviations and initials.
29,12,0.528811999," words and phrases indicating contrast or comparison, often involving the term ""however."""
29,1856,0.409537526,verbs related to making choices or decisions.
29,522,0.38937294,bird-related words and phrases related to attachment or connection.
29,983,0.588305618," words and phrases related to parts, sections, or divisions of something."
29,1044,0.448397621, words and phrases related to need or necessity.
29,415,0.499661301,verbs related to placing or fixing something.
29,807,0.564995813, phrases related to downward or deep movements.
29,1366,0.414022515,words and phrases related to religious and mystical concepts.
29,770,0.416051348," connecting words or phrases that show relationships or transitions in sentences, and numbers or dates."
29,1740,0.436664589," mentions of U.S. locations, specifically Washington D.C. and street numbers."
29,617,0.387680076,"words or phrases containing the letters ""har""."
29,202,0.481090025, words and phrases related to account creation and user information.
29,709,0.671429873,phrases related to checking or verifying something.
29,435,0.582161665, instances of the word 'single' and related numerical items.
29,1883,0.656288881,"expressions related to attentiveness, monitoring or verifying."
29,911,0.465098409,"actions or situations involving control, restraint, or holding."
29,821,0.705787632, words and phrases related to being known or acknowledged.
30,1685,0.537097037, expressions of gratitude and agreeing to receive something.
30,1983,0.478696984, phrases related to reminding or emphasizing information.
30,574,0.35093833,names of educational institutions and related entities.
30,72,0.543015378,words and phrases related to payment or fees.
30,1465,0.354397742,words and phrases related to forceful or impactful actions.
30,1216,0.669232298," the word ""key"" and related meaningful phrases around it."
30,1270,0.434720813, sequences of numbers and alphanumeric codes.
30,78,0.378467044, words related to problems or negative situations.
30,851,0.612654032,words and phrases related to religion and belief systems.
30,200,0.403372059, words and phrases related to shipping and delivery.
30,723,0.384696703, words and phrases related to wearing or deterioration.
30,1362,0.521393933," phrases related to searching, observing, or looking at something."
30,1120,0.368050584, words and phrases related to work and functionality.
30,1644,0.416166347,"negations, specifically focusing on the word ""not."""
30,1735,0.411940135,"verbs and phrases related to searching, finding, and setting up objects."
30,53,0.552912939, phrases describing attempts or efforts.
30,1020,0.481502456," words and phrases related to ""post"" and currency symbols."
30,1529,0.524106323,words related to depth or intensity.
30,1794,0.362039684, words and phrases related to absence or lack of something.
30,413,0.36827608,"comma preceding small phrases or single words related to size, scale, or facts."
31,887,0.35150374, verbs related to taking action or making decisions.
31,488,0.44918001,"instances of emphasizing a statement using ""Believe me"" or similar phrases."
31,395,0.417147683, numeric values and their related contexts.
31,1061,0.414120805, instances of asking or inquiring.
31,1697,0.351502952," verbs related to sending, ordering, and making requests."
31,1929,0.525830771," expressions of emphasis or certainty, often with punctuation."
31,1498,0.47115413, words and phrases about progress or movement.
31,349,0.372316857, conjugated forms of the verb 'to have' and associated words in a sentence.
31,124,0.610726939,"words related to breaking, ending, or separating."
31,1102,0.479417009," phrases expressing negation, denial, or disagreement."
31,860,0.664318571, words and phrases related to expressing opinions or making arguments.
31,1049,0.356636332," punctuation marks, particularly commas and periods, and numbers."
31,78,0.383556213, words and phrases related to time or duration.
31,747,0.520170168," words related to high positions, rankings, or levels."
31,1458,0.686665076, actions related to turning or changing directions.
31,668,0.438587215, phrases or words related to identifying gaps or areas in need of improvement.
31,1231,0.376215175, comparative adjectives and phrases related to the concept of speed or rate.
31,377,0.523384845,"words and phrases related to positioning, setting up, or arranging objects or people."
31,333,0.414920243,words and phrases related to problems or difficulties.
31,577,0.553468474, phrases related to expressing intention or desire.
32,170,0.426002336," phrases related to intentions, plans, and goals."
32,140,0.398403465, words related to setting up or establishing something.
32,1786,0.407495431, connecting phrases or conjunctions that link parts of sentences together.
32,217,0.367422164,"instances of food preparation or cooking processes, services, and quality experiences."
32,1819,0.421083203, phrases related to storing and sharing private information digitally.
32,1698,0.488916645," instances of the word ""an"" and single letters or digits."
32,199,0.412855565, casual and informal expressions in conversation.
32,832,0.394808807, European city names and related terms.
32,698,0.707297647,prepositions and phrases indicating a basis or dependence on something.
32,1541,0.545647102, transitional and contrasting phrases.
32,1208,0.442208398, proper names and related terms associated with people and characters.
32,111,0.414995863,names and titles related to legal professions.
32,86,0.497850111, words related to creating obstacles or disruptions.
32,942,0.407558539,phrases describing composition or mixtures.
32,1804,0.46188742, words and phrases related to attracting or directing attention.
32,1701,0.35356251, numeric values and words closely associated with them.
32,181,0.418706301, variations of the word 'in' and its related contexts.
32,1161,0.365734991," phrases that provide additional information or details, often accompanied by the words ""more,"" ""please,"" or ""details."""
32,763,0.497993361,verbs related to creating or producing something.
32,1345,0.420092872, phrases indicating duration or period of time.
33,819,0.459796544,"actions, especially related to speaking and personal experiences."
33,1095,0.407712638, personal pronouns combined with auxiliary verbs or conjunctions.
33,826,0.416763316,verbs and phrases related to commitment and continuity.
33,1596,0.496871636,body parts and their actions or positions.
33,1478,0.395713531,words and phrases related to technology and computing.
33,1457,0.421989137, body parts or expressions related to body parts.
33,1312,0.358636039," abbreviations, single letters, and punctuation associated with authorship or writing."
33,967,0.490917525,instances of requests or suggestions to read or explore more information.
33,755,0.357002832," phrases related to the concept of ""all"" or inclusiveness."
33,1254,0.436715715, numeric values related to salary figures and related job statistics.
33,935,0.439149452,comparisons and gradations.
33,624,0.396697821,"sequential actions or movements, including turning and shifting."
33,1307,0.506630814,academic titles and affiliations.
33,552,0.52699937, creative activity roles and their associated actions.
33,831,0.366349137, questions and expressions of uncertainty.
33,1057,0.392770808, historical events and related dates.
33,774,0.405371896, phrases related to duration or length of time.
33,779,0.501492823, expressions of love and affection.
33,1536,0.364085373," short words, often related to numbers and quantities."
33,101,0.472112199, words and phrases with a strong emphasis or intensity.
34,391,0.35721649," numerical values and related words, especially in the context of amounts and measurements."
34,9,0.356212579,"connecting words and punctuation, such as commas, conjunctive words, and prepositional phrases."
34,842,0.680708651, occurrences of the word 'going' and variations of 'to be' with 'going'.
34,1466,0.411941447, words related to monitoring or paying attention to something.
34,1991,0.426188877, numeric values in various contexts.
34,839,0.395043163," phrases related to legal actions, regulations, and authority."
34,1493,0.362895361," phrases related to holding, supporting, or restraining."
34,1720,0.437938949, numerical sequences or values.
34,1556,0.36117757," instances of awards, prizes, and recognitions."
34,817,0.479570027,phrases related to filling gaps or empty spaces.
34,214,0.523141015," contrasting conjunctions, such as ""but"" and ""though""."
34,1574,0.438088214, casual conversation phrases and informal questions.
34,1070,0.387004147, instances of force or physical action.
34,1254,0.454363114, words and phrases related to sounds and listening.
34,1473,0.474471483, age-related phrases and numbers.
34,834,0.360680413, numerical values and related financial or calculation terms.
34,502,0.495219343,terms and phrases related to playing and performance.
34,830,0.383264294, keywords and phrases related to durations and time periods.
34,133,0.762870315,"the word ""even"" and sentences where it's present."
34,1372,0.431053983, age-related information or references to ages of people.
35,579,0.378507878," occurrences of the word ""finally"" and values or events associated with it."
35,1767,0.396055031, age-related terms and legal statuses.
35,1693,0.370698635, numbers along with their associated nouns or activities.
35,916,0.35139177," phrases related to age, aging, and time periods."
35,1987,0.496425876, words related to different levels of weight and intensity.
35,791,0.444913892," card game related terminology, especially related to creature cards and costs."
35,1408,0.401371959, phrases indicating uncertainty or a range of possibilities.
35,354,0.561793685," instances of the word ""it"" and nearby context words."
35,1440,0.58620004,"actions or states involving sitting, resting, or being together in a group."
35,1450,0.401606064, instances of the word 'of' and the words that directly follow it.
35,247,0.38011516,descriptions of handcrafted items and their measurements.
35,665,0.403274411," short informal dialogue with pronouns like ""I"" and ""you""."
35,1001,0.436035, actions and movements related to placing or positioning objects.
35,1537,0.506038705,"plural pronoun ""they"" and its variations (e.g., They, They've, they're)."
35,1713,0.403683016," names of people, especially of Korean or Asian origin."
35,946,0.380079088, negations and expressions of certainty or doubt.
35,1207,0.419110739, words related to geographical locations or regions.
35,1146,0.373916644,"conjunctions, pronouns, and short phrases with speculative language."
35,1875,0.353579625," numbers, especially with decimals or as part of larger values."
35,1685,0.359197053, words and phrases related to announcements and conclusions.
36,1507,0.418537773, sequences of words related to personal possession or ownership.
36,1928,0.516994212, words and phrases related to quantity and presence.
36,464,0.528921705, numeric values and related words in a text.
36,23,0.505800776,loud or intense sounds and related descriptions.
36,1494,0.458828851, numerical values and related units or symbols.
36,1484,0.42156421," personal pronoun ""I"" along with related contractions and possessive forms."
36,1796,0.559367937, past and present tense verbs related to assumption and estimation.
36,626,0.415090872, dates and years.
36,1301,0.380601409, words indicating necessity or requirements.
36,1693,0.465184346,words related to small or little objects or quantities.
36,956,0.565854133, adverbs of time and immediacy.
36,1145,0.372599841," expressions of praise, acknowledgment, and appreciation."
36,818,0.739806998, instances of the preposition 'to'.
36,111,0.390342194, references to North American locations and related entities.
36,527,0.510184146,"possessive references, particularly with the word ""your""."
36,1399,0.567479485,"words and phrases related to awards, recognition, and funding."
36,1655,0.353685026, numeric values and related symbols.
36,728,0.365152965, words and phrases related to payment or compensation.
36,461,0.388283761, phrases related to visibility and coverage in various contexts.
36,1276,0.355944629,"verbs or phrases related to analyzing, elaborating, or providing additional information."
37,443,0.567387171,verb phrases related to efforts or attempts.
37,1725,0.356531433, expressions of hopes and expectations.
37,1293,0.505117411,"sequences of numbers, often related to dates, scores, or technical information."
37,1519,0.564803098," instances of the words ""can"" and ""be"" being used together."
37,1487,0.434221114," phrases related to construction, renovation, and development."
37,697,0.450952226," instances of people communicating, specifically using the verb ""speak"" or related words."
37,1178,0.38009766," specific locations, addresses, or local areas."
37,1905,0.418121223,words and phrases related to physical human body parts or conditions.
37,496,0.363934399, auxiliary verbs and contractions involving auxiliary verbs.
37,881,0.398376994, numerical values and related terms in various contexts.
37,1165,0.377478328, phrases related to placing or adjusting items in a space.
37,1,0.417500201,titles and names related to political figures and roles.
37,969,0.375423273, numeric values and percentages.
37,440,0.350752842," references to locations, particularly related to geographic places and names."
37,243,0.4665745," numbers and related symbols, often associated with file names, sizes, or measurements."
37,515,0.536276145," instances where a person is speaking, mainly through the word ""said"" and related context."
37,1241,0.357347295," conditional phrases starting with ""if"" and the related responses."
37,1255,0.41398578, possessive nouns and related phrases.
37,553,0.353038057,descriptions of positions or locations in a context.
37,470,0.356711797,references to educational institutions and experiences.
38,319,0.378430986, numeric values and its contextual relevance in a sentence.
38,306,0.553655636,names and titles related to universities and institutions.
38,719,0.57029423," words related to usage, force, or involvement in an action."
38,922,0.410222138,numbers and related terms.
38,834,0.539997023," instances of the indefinite article ""an"" and its surrounding context."
38,277,0.485430935,"possibility and hypothetical situations, focusing on words like ""might,"" ""could,"" ""would,"" and ""if."""
38,566,0.402733658, words and phrases related to television and media content.
38,85,0.436192297, auxiliary verbs or helping verbs in various tenses.
38,833,0.385302077, occurrences of pronouns and auxiliary verbs closely related to them.
38,1940,0.465587059, specific locations and addresses in news stories.
38,259,0.370802851, words and phrases related to factual information or knowledge.
38,1572,0.412729632,body-related expressions and physical experiences.
38,842,0.37081793, words and phrases related to reporting and explaining a situation or event.
38,1392,0.651868398,"punctuation marks, especially commas and quotation marks."
38,521,0.478090823, words and phrases related to speaking or communication.
38,404,0.477306246," legal terms and language related to law enforcement, prosecution, and defense."
38,703,0.422383737," phrases related to numerical values, particularly involving frequency or quantity."
38,812,0.633024887," mentions of third person pronouns (he, she)."
38,315,0.449290987, specific measurements or numerical values.
38,141,0.485646792," prepositions, especially 'of' and its variations in context."
39,109,0.477415602," single letters or numbers, often in parenthesized contexts."
39,1971,0.443935823,words and phrases related to intensifiers and extreme situations or conditions.
39,1305,0.361213956, numbers and their associated units or objects.
39,875,0.358242974,phrases related to injuries and accidents.
39,1695,0.397650337, height or altitude-related terms.
39,12,0.458778205, phrases related to hard work and dedication.
39,131,0.42884195, legal or law enforcement-related terms and phrases.
39,1893,0.382314453, words and phrases related to celebrations and events.
39,1059,0.424261483,words related to digital storage and technology.
39,636,0.3665335,negations and expressions of denial.
39,445,0.364155726, instances of personal pronouns and verbs related to their actions or thoughts.
39,239,0.395235684, numbers and numerical representations.
39,356,0.396467967, action-related verbs and their associated body parts.
39,990,0.505513394, media sources and platforms.
39,340,0.351523527,"specific skills, activities, or practices."
39,732,0.456304769, expressions of gratitude and politeness.
39,159,0.421809721,words and phrases related to medical settings and situations.
39,1327,0.378192369, phrases related to importance and taking action.
39,1947,0.463699146,"verbs indicating refusal, denial, or rejection."
39,1660,0.355454455, numerical values and words related to counts or measurements.
40,431,0.365750284," numbers related to time, dates, and measurements."
40,1673,0.36972396," expressions related to gratitude and appreciation, and numerical values or percentages."
40,885,0.49411361, phrases related to availability and transaction.
40,449,0.473475757, code components and programming syntax.
40,1852,0.353897185, punctuation related to quotations and sentence endings.
40,48,0.396637027, parts of compound words and phrases related to concepts or processes.
40,493,0.357221531, specific items or objects in various contexts.
40,1412,0.520554773,concepts and vocabulary related to incarceration and serving time.
40,1640,0.459700929, numbers and numerical values within a text.
40,1849,0.62663314,"the pronoun ""I"" followed by expressions of personal experiences or opinions."
40,942,0.39836784, words related to website design and technical aspects.
40,414,0.357760982,verbs related to observation and discovery.
40,1159,0.445960815, instances of punctuation and surrounding sentence structure.
40,1403,0.439452995," relationships, comparisons, and connections between words and ideas."
40,558,0.434387773, numerals and numbers related to age.
40,334,0.399813851, descriptions of locations involving bodies of water.
40,650,0.367661359, phrases related to a situation or news occurring or unfolding.
40,1353,0.368242551," years, months, and numerical values related to dates."
40,631,0.429640307, words and phrases related to natural events and disasters.
40,933,0.450237272, numbers and units related to measurements and quantities.
41,1239,0.386711086,instructions and steps within a process.
41,590,0.588800713," modal verbs expressing possibility, ability, or likelihood."
41,576,0.409800684," parts of sentences that describe assembly, setting up, or connecting items."
41,699,0.385750905, numbers and their adjacent words.
41,1636,0.812642818," occurrences of the indefinite article ""a""."
41,15,0.465956188, numbers and units of measurement.
41,675,0.37463186,"acronyms, initials, and single letter prefixes or abbreviations."
41,791,0.390605025, words and phrases related to technical and specific processes or measurements.
41,166,0.382586936,"phrases related to illnesses, diagnoses, and health conditions."
41,297,0.869450942," punctuation marks, especially periods, that indicate the end of a sentence or statement."
41,491,0.455072034," verbs related to planning, processing, and action."
41,60,0.408719198, technical and scientific terms related to genetics and biology.
41,1366,0.417757004, words and phrases related to material properties and physical characteristics.
41,101,0.381612977,"words and phrases related to connections, relationships, and gaps."
41,1015,0.512375933, words and phrases related to motion or movement.
41,419,0.49826995, technical and procedural instructions or steps.
41,854,0.368550874, names and titles of characters in a fantasy setting.
41,934,0.494334569, personal pronouns followed by 's and seemingly focusing on subjects performing actions.
41,1371,0.442632926," numbers, especially related to ages and years."
41,1641,0.477202895,"instances of people talking or explaining something in the first person perspective, particularly using 'we'."
42,1589,0.489702236,"punctuation marks used in sentence and list structures, such as commas, periods, and parentheses."
42,515,0.381110664, expressions of strong emotions or gratitude.
42,279,0.486772898, numerical data and related terms.
42,674,0.358086387," phrases with the word ""well"" preceded or followed by an intensifying adverb or verb."
42,224,0.405132217, sequences of increasing numbers.
42,111,0.390864097," words related to buildings, structures, and their features."
42,481,0.362642466," words related to positions, occupations, and job titles."
42,625,0.455286536,terms related to law enforcement and crime.
42,453,0.510063692," instances of the pronoun ""it"" and other pronouns in the context of nearby words."
42,1289,0.506615615, periods followed by a quotation mark or a number.
42,1842,0.494384306, expressions of gratitude and appreciation.
42,861,0.384797842," relationship phrases, such as ""due to,"" ""related to,"" or ""because of."""
42,1239,0.362043368," words related to cells, genetics, and biological processes."
42,331,0.407167777,verbs indicating motion or progress.
42,676,0.537832074, abbreviations and initials.
42,1505,0.376199728, numerical values and their adjacent units or terms.
42,1620,0.510076884,"words and phrases related to agreement, disagreement, or affirmations."
42,1086,0.368720428, phrases and words related to upcoming events or releases.
42,995,0.463717657,words and phrases related to numbers and quantities.
42,978,0.534788118, numerical values and measurements.
43,122,0.416585038, phrases and words related to technical specifications and features.
43,1420,0.434042687, words and phrases related to information disclosure and security.
43,39,0.542118626," words related to responding, commenting, and information sharing."
43,916,0.371617969, official statements and mentions of authorities in various contexts.
43,1014,0.453378576," numerical values, particularly within sequences or series of numbers."
43,1547,0.361768404,"cosmetic-related terms, particularly focusing on eye makeup."
43,1751,0.648579086, auxiliary verbs in various forms.
43,1148,0.352787315,"adjectives describing the quality, texture, or physical properties of items."
43,148,0.398924686, names of people and related titles or roles.
43,679,0.485928358, phrases related to learning and education.
43,1329,0.521218866, words and phrases related to story elements and descriptions.
43,1992,0.36658076, words and phrases related to educational or specialized institutions.
43,1503,0.4300669, quotations or parts of dialogues.
43,878,0.464362649, auxiliary/modal verbs in different forms.
43,498,0.551642853," instances of the word ""one"" and minor numeric references."
43,1098,0.379421307,"names of people or titles, especially related to arts and entertainment."
43,1911,0.377652313, numerical values and units of measurement.
43,312,0.420591869, terms related to markets or safe environments.
43,191,0.784226998, articles 'an' and some associated compound words.
43,1491,0.350600894," verbs that denote specific actions, movements, or occurrences."
44,654,0.474219232," past tense verbs combined with ""ve"" (contraction of ""have"")."
44,1393,0.372216126, specific technical terms or jargon related to different fields.
44,570,0.509299706,punctuation marks and quotation marks in the context of sentences.
44,1320,0.352083472," numbers or words that contain numbers, and some words related to people or actions."
44,806,0.528386995, abbreviations and acronyms.
44,29,0.467285277," sentence endings, including punctuation and numeric values that indicate emphasis or timing."
44,218,0.409282422, numbers or numeric measurements.
44,1352,0.367273955, words and phrases related to weather and temperature.
44,31,0.597059634, pronoun-verb contractions and related pronouns.
44,86,0.374964081, numbers and related percentage or statistical figures.
44,829,0.392750655, descriptions of objects and their physical characteristics.
44,1718,0.359584612, pronouns and their related actions or states.
44,1129,0.409563026," names of people, characters, or organizations."
44,659,0.397899642, words and phrases related to numerical or measurable quantities.
44,1261,0.359172579, numbers or numerical values.
44,754,0.355924587, outdoor locations and landmarks.
44,589,0.466802164,specific features and details of objects.
44,227,0.383594122, commas and prepositions in a text.
44,1628,0.399991387,words indicating personal pronouns and contractions.
44,448,0.361830584, expressions of achievements or accomplishments.
45,453,0.365005836, prepositions and numeric values related to a sequence of actions or aspects.
45,1206,0.360336094, instances of the word 'you'.
45,1394,0.403060716,"names of cities, companies, and events related to the automotive industry."
45,1043,0.626871044,comparative terms indicating quantity or magnitude.
45,73,0.390460401, words and phrases related to numbers or numerical values.
45,567,0.547731345," instances of people speaking, focusing on the presence of quotation marks and the verb 'said'."
45,13,0.379253528, phrases related to research and evidence gathering.
45,941,0.371902422, words related to numbers and counting.
45,321,0.356567486,specific product-related attributes and measurements.
45,1952,0.493343516,sequences of connected numbers and series of similar patterns.
45,535,0.393160872, numbers and technical specifications.
45,630,0.479692877, numbers and numeric expressions.
45,1545,0.69132282, instances of advertisements and related spacing in the text.
45,1749,0.410401672, words and numbers related to loading and delays.
45,651,0.35406045,"adjectives and noun phrases describing clothing items, textiles, or physical appearances."
45,1039,0.383332459, names of places or organizations.
45,1159,0.399784556," academic, sports and organizational affiliations."
45,1539,0.408373418,"uppercase sequences of letters, typically within acronyms or emphasized text."
45,1869,0.395120474," numerical values, often associated with measurements or pricing information."
45,811,0.491666951," instances of the word ""the"" and closely following words or phrases."
46,1350,0.400490717,"abbreviations, short codes, and technical terms."
46,964,0.386540477," words or phrases related to negation or that contain the prefix ""non-""."
46,1334,0.628875634,occurrences of the word 'the' and related variations.
46,149,0.368133626,"words or phrases related to products, advertisements, and consumer items."
46,1468,0.520711203,names of places and addresses.
46,1815,0.469320766,mentions of mayors and their related titles.
46,1015,0.632201912, words and phrases indicating a contrast or transition in a statement.
46,248,0.417426398, terms and descriptions related to game mechanics or rules.
46,1274,0.412738293, HTML and web-related terms.
46,1630,0.412865304, instances of specific items or products and their corresponding details or properties.
46,835,0.395713502," acronyms, technical and financial terms."
46,1884,0.367662008," punctuation and short words, often related to lists and quotes."
46,1905,0.506865735," words and phrases related to materials, tools, and specific measurements."
46,1474,0.378273953, geographical locations and weather-related terms.
46,1714,0.450306499, sequences of capital letters and abbreviations.
46,1692,0.507226665, position names and abbreviations related to hierarchies or titles.
46,1507,0.405583161, HTML elements and attributes.
46,92,0.35725125, elements related to website elements and online communication.
46,1190,0.399562736, sequences of characters and symbols related to technical and scientific terminology.
46,438,0.574630854," ""an"" followed by a word or phrase, as well as detecting prepositions related to location or presence."
47,1181,0.416777093, words and phrases related to requests and instructions.
47,460,0.372339384,"words related to locations, places, or geographic areas."
47,20,0.492280124,"sequences of numbers, URLs, and code-like text."
47,1564,0.375097908,names of people and bands.
47,1207,0.365391061," numbers, dates, and URL elements."
47,1598,0.565510234, negations with verbs ending in 'n'.
47,1768,0.366715109,initials or abbreviated forms of words or organizations.
47,150,0.354140627, capital letter 'B' and related single capital letters within words.
47,386,0.356908977," phrases related to placing items, storage, and accessibility of objects."
47,415,0.350099963," numbers, especially with associated units or punctuation marks."
47,1558,0.35077224,"common procedural language, especially related to online actions and notifications."
47,1979,0.370911507,alphanumeric characters and symbols in technical sequences or text elements.
47,722,0.368512021," locations, including cities, states, and countries."
47,342,0.418222741," names, particularly first names, of people."
47,942,0.434233263," instances of expansion or continuation, focusing on numbers and context shifting."
47,409,0.443687764,uppercase letters and words in all capital letters.
47,1932,0.366607865, numbers and abbreviations within the text.
47,1056,0.362160154, numbers and related measurement terms.
47,1611,0.395714349, technical terms and abbreviations.
47,1970,0.363052646, definite and indefinite articles along with numbers and organization names.
